epoch,train_loss,lr,val_loss,val_macro_f1,val_balanced_acc,val_overall_acc,val_count
1,2.3976621218401974,0.001,2.3929331302642822,0.06068511842092748,0.10150174296060843,0.1035007610350076,2628
2,2.176069777019899,0.001,1.6157426819914864,0.29765883066725085,0.368468184765999,0.371765601217656,2628
3,1.3171580351563015,0.001,1.0299936426537377,0.6306022961219914,0.6387261493732651,0.6354642313546424,2628
4,0.8693684664639559,0.001,0.7915866084042049,0.7241809535182872,0.7257138479686568,0.7264079147640792,2628
5,0.6457305532513242,0.001,0.6752814788903508,0.7672088976949134,0.7692535107312978,0.767503805175038,2628
6,0.5166474413189422,0.001,0.5843172603774638,0.8009298514407823,0.8049898311505881,0.8040334855403348,2628
7,0.416857985484881,0.001,0.5710432511709985,0.8115562117721997,0.814509044118035,0.8127853881278538,2628
8,0.3297022092924375,0.001,0.5377372765824908,0.8246989566543147,0.824353635447956,0.826103500761035,2628
9,0.27053713512541067,0.001,0.5755064448430425,0.8273121567358469,0.8266371363564514,0.8291476407914764,2628
10,0.22718029436639664,0.001,0.5431574912120899,0.8349888468223373,0.8324749579840575,0.8344748858447488,2628
11,0.1972750350456647,0.001,0.6585658941240538,0.8129170816902632,0.8135145658647616,0.8127853881278538,2628
12,0.16657154865387314,0.001,0.6079854943922588,0.8243927263328331,0.8249843345535791,0.8253424657534246,2628
13,0.15126730635235405,0.001,0.620552454942039,0.8410422281098655,0.8426685886376006,0.841324200913242,2628
14,0.12343653109902987,0.001,0.6216210295401868,0.8388099616280642,0.8409750655649993,0.8398021308980214,2628
15,0.10922184861218086,0.001,0.63177226377385,0.8434519894254513,0.8434857552284154,0.8424657534246576,2628
