epoch,train_loss,lr,val_loss,val_macro_f1,val_balanced_acc,val_overall_acc,val_count
1,1.8868869267054051,0.001,1.3464793066183727,0.48720585260018273,0.5187969341318307,0.52,2650
2,1.4330115938346657,0.001,1.0961670577526093,0.6253308163331844,0.641875338638195,0.6415094339622641,2650
3,1.1420496502178628,0.001,0.9524611830711365,0.6767643152949545,0.6832847857876344,0.6837735849056604,2650
4,0.9766682478405485,0.001,0.798395071710859,0.7283151428707388,0.730136512441728,0.730188679245283,2650
5,0.7702813758546074,0.001,0.6467596858385063,0.7804311360786262,0.7816478899385847,0.78,2650
6,0.6691036184362117,0.001,0.5875833284642015,0.8168602960239056,0.8149731747461902,0.8154716981132075,2650
7,0.5560624808473075,0.001,0.562208218943505,0.8255930461721526,0.8220545148787831,0.8215094339622642,2650
8,0.47222759272128145,0.001,0.47701752930879593,0.8550251924361428,0.853608709451617,0.8539622641509435,2650
9,0.41720783550467266,0.001,0.44981778923067306,0.8590897980584379,0.85829674716808,0.8562264150943396,2650
10,0.35966326981382885,0.001,0.4136728702024335,0.8741823497850713,0.8739526359566255,0.8735849056603774,2650
11,0.32953374092810905,0.001,0.4179109023617847,0.8749501295427975,0.8748789121634274,0.8739622641509434,2650
12,0.304419786388042,0.001,0.38466139412706807,0.8755168204727362,0.8733791789724158,0.8747169811320755,2650
13,0.28055368756387855,0.001,0.3551238526900609,0.8892725882711261,0.8894193605337068,0.8879245283018868,2650
14,0.25859879974850875,0.001,0.2989637252120745,0.9079203839314112,0.9076211063464616,0.9075471698113208,2650
15,0.23954229236849203,0.001,0.36570267144235824,0.890753884937226,0.8919028231991187,0.8913207547169811,2650
