experiment,n_seeds,metric_source,loss_mean,loss_std,macro_f1_mean,macro_f1_std,balanced_acc_mean,balanced_acc_std,overall_acc_mean,overall_acc_std,count_mean,count_std,vad.macro_f1_mean,vad.macro_f1_std,vad.balanced_acc_mean,vad.balanced_acc_std,vad.overall_acc_mean,vad.overall_acc_std,vad.count_mean,vad.count_std,vad.pred_speech_mean,vad.pred_speech_std,vad.pred_background_noise_mean,vad.pred_background_noise_std,vad.true_speech_mean,vad.true_speech_std,vad.true_background_noise_mean,vad.true_background_noise_std,vad.false_positive_background_as_speech_mean,vad.false_positive_background_as_speech_std,vad.false_negative_speech_as_background_mean,vad.false_negative_speech_as_background_std,keyword_on_vad_speech_true_nonbackground.macro_f1_mean,keyword_on_vad_speech_true_nonbackground.macro_f1_std,keyword_on_vad_speech_true_nonbackground.balanced_acc_mean,keyword_on_vad_speech_true_nonbackground.balanced_acc_std,keyword_on_vad_speech_true_nonbackground.overall_acc_mean,keyword_on_vad_speech_true_nonbackground.overall_acc_std,keyword_on_vad_speech_true_nonbackground.count_mean,keyword_on_vad_speech_true_nonbackground.count_std,keyword_on_vad_speech_true_nonbackground.loss_mean,keyword_on_vad_speech_true_nonbackground.loss_std
single_stage_cnngru_raw_speed_conv64_lr1e3_drop01_phase3_ep30,3,model_space_11class,0.40226372116141845,0.016187926912194003,0.8262365280983867,0.03451097397958604,0.8741030307536087,0.0017789726394240681,0.8740110993033415,0.0018594894022934923,2823.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
two_stage_cnngru_mel_bgnoise,3,two_stage_final_12class,,,0.6592147853026334,0.05529455652334269,0.704144040940604,0.055293450802084775,0.7025622859841776,0.05581491557193627,2823.0,0.0,0.48299856896306287,0.0001180803120005458,0.9342307238162711,0.00044180628017166207,0.9342307238162711,0.00044180628017166207,2823.0,0.0,2637.3333333333335,1.247219128924647,185.66666666666666,1.247219128924647,2823.0,0.0,0.0,0.0,0.0,0.0,185.66666666666666,1.247219128924647,0.7446811214237385,0.06254794806025482,0.7533415735864145,0.05909661233392409,0.7520113052523135,0.059624929063160886,2637.3333333333335,1.247219128924647,0.7209223824684236,0.16444902311730458
two_stage_cnngru_mel_none,3,two_stage_final_12class,,,0.6183832076755703,0.08077647922119173,0.6646774192199194,0.07914393487216885,0.664068957373952,0.07934206100462297,2823.0,0.0,0.48299856896306287,0.0001180803120005458,0.9342307238162711,0.00044180628017166207,0.9342307238162711,0.00044180628017166207,2823.0,0.0,2637.3333333333335,1.247219128924647,185.66666666666666,1.247219128924647,2823.0,0.0,0.0,0.0,0.0,0.0,185.66666666666666,1.247219128924647,0.6986955961466804,0.09189698765500519,0.7122162048175693,0.08477433288069434,0.7108229740069542,0.08497065055391148,2637.3333333333335,1.247219128924647,0.8340003460580473,0.2252777364829754
two_stage_cnngru_mel_specaug,3,two_stage_final_12class,,,0.335337287221364,0.23020045585932222,0.3919155863063821,0.21927159948284372,0.39012870468768446,0.2190265176993964,2823.0,0.0,0.48299856896306287,0.0001180803120005458,0.9342307238162711,0.00044180628017166207,0.9342307238162711,0.00044180628017166207,2823.0,0.0,2637.3333333333335,1.247219128924647,185.66666666666666,1.247219128924647,2823.0,0.0,0.0,0.0,0.0,0.0,185.66666666666666,1.247219128924647,0.379169541388408,0.2605775029894134,0.4204998692530923,0.23594433699363504,0.4175549521818749,0.23436599053184468,2637.3333333333335,1.247219128924647,1.6126156841535055,0.5599136051649402
two_stage_cnngru_mel_speed,3,two_stage_final_12class,,,0.3413928660168685,0.24093237038020918,0.4285364378289956,0.2106882476973826,0.42685086787105914,0.2106476958498502,2823.0,0.0,0.48299856896306287,0.0001180803120005458,0.9342307238162711,0.00044180628017166207,0.9342307238162711,0.00044180628017166207,2823.0,0.0,2637.3333333333335,1.247219128924647,185.66666666666666,1.247219128924647,2823.0,0.0,0.0,0.0,0.0,0.0,185.66666666666666,1.247219128924647,0.38438528953366996,0.2735701882387261,0.45702286829806477,0.22824033330331178,0.45695154089114604,0.2256550656379166,2637.3333333333335,1.247219128924647,1.4723364332602467,0.5449671880575492
two_stage_cnngru_mfcc_bgnoise,3,two_stage_final_12class,,,0.40937029116173784,0.03422871027554573,0.4614663427858277,0.032140907308202044,0.46168378793245957,0.031156853340086214,2823.0,0.0,0.48299856896306287,0.0001180803120005458,0.9342307238162711,0.00044180628017166207,0.9342307238162711,0.00044180628017166207,2823.0,0.0,2637.3333333333335,1.247219128924647,185.66666666666666,1.247219128924647,2823.0,0.0,0.0,0.0,0.0,0.0,185.66666666666666,1.247219128924647,0.46334105975423995,0.03819641118028197,0.49336525867302233,0.03336100751050454,0.49417256290756945,0.033154374334509164,2637.3333333333335,1.247219128924647,1.436289143908826,0.07565115698465713
two_stage_cnngru_mfcc_none,3,two_stage_final_12class,,,0.38096079305735353,0.045730817703486984,0.43435447012515777,0.046866440358091996,0.433463218797969,0.046461134895235144,2823.0,0.0,0.48299856896306287,0.0001180803120005458,0.9342307238162711,0.00044180628017166207,0.9342307238162711,0.00044180628017166207,2823.0,0.0,2637.3333333333335,1.247219128924647,185.66666666666666,1.247219128924647,2823.0,0.0,0.0,0.0,0.0,0.0,185.66666666666666,1.247219128924647,0.4306051719940987,0.051032894680785354,0.4644194635407592,0.04973293752058925,0.4639935213386737,0.04988459992445692,2637.3333333333335,1.247219128924647,1.5114133495342645,0.13182777275442914
two_stage_cnngru_mfcc_speed,3,two_stage_final_12class,,,0.341379832960577,0.04460846956041787,0.3905196441964985,0.03889273546652917,0.39060101546817805,0.038577629254617524,2823.0,0.0,0.48299856896306287,0.0001180803120005458,0.9342307238162711,0.00044180628017166207,0.9342307238162711,0.00044180628017166207,2823.0,0.0,2637.3333333333335,1.247219128924647,185.66666666666666,1.247219128924647,2823.0,0.0,0.0,0.0,0.0,0.0,185.66666666666666,1.247219128924647,0.3859262527190254,0.05120710310530567,0.419381367250323,0.041366630053320044,0.41808479675656035,0.041135828875624315,2637.3333333333335,1.247219128924647,1.6417250832495656,0.09113370072656093
two_stage_cnngru_raw_bgnoise,3,two_stage_final_12class,,,0.7044746430243323,0.009914670394846425,0.7434239686164094,0.010260139176447027,0.7420002361553903,0.010332979032782725,2823.0,0.0,0.48299856896306287,0.0001180803120005458,0.9342307238162711,0.00044180628017166207,0.9342307238162711,0.00044180628017166207,2823.0,0.0,2637.3333333333335,1.247219128924647,185.66666666666666,1.247219128924647,2823.0,0.0,0.0,0.0,0.0,0.0,185.66666666666666,1.247219128924647,0.7963582214712881,0.011019420409247287,0.7949440499474146,0.010567227818119636,0.7942323074036078,0.010742886615046318,2637.3333333333335,1.247219128924647,0.7464717267751334,0.03805195560372584
two_stage_cnngru_raw_none,3,two_stage_final_12class,,,0.742971325286017,0.004923852668460566,0.7835994606351427,0.005367461633802992,0.7828551186680835,0.005230188827571169,2823.0,0.0,0.48299856896306287,0.0001180803120005458,0.9342307238162711,0.00044180628017166207,0.9342307238162711,0.00044180628017166207,2823.0,0.0,2637.3333333333335,1.247219128924647,185.66666666666666,1.247219128924647,2823.0,0.0,0.0,0.0,0.0,0.0,185.66666666666666,1.247219128924647,0.8397245747085691,0.005407092102540513,0.8391477399532902,0.006056147129143306,0.837968934176638,0.005776557693655078,2637.3333333333335,1.247219128924647,0.6457419179946591,0.07989792938294049
