epoch,train_loss,lr,val_loss,val_macro_f1,val_balanced_acc,val_overall_acc,val_count
1,1.9394049849173036,0.001,1.5878961398487998,0.38436198142177597,0.4386139812815579,0.4394227117356627,2633
2,1.5027341268680714,0.001,1.1281047058956963,0.6152999027114657,0.6277736509374455,0.6240030383592859,2633
3,1.1963943638384142,0.001,0.9049734483872142,0.6584019118052337,0.6827835807984588,0.6828712495252564,2633
4,0.9710956607202087,0.001,0.7988621674123264,0.7240564598767504,0.7237169989457373,0.7246486897075579,2633
5,0.8315676755776711,0.001,0.8052022045566922,0.729541399144053,0.7386048755538734,0.7409798708697304,2633
6,0.7177476115298994,0.001,0.5808844647946811,0.8094553431506629,0.8082200047442932,0.8093429548044057,2633
7,0.6097343883129082,0.001,0.4768147442844652,0.8494625713165866,0.8520520597707314,0.8511203949867072,2633
8,0.525077823336277,0.001,0.42897242063745145,0.8672339870414768,0.8682384952956017,0.868211165970376,2633
9,0.47792276278489365,0.001,0.42346208613543285,0.8656877639689405,0.8656347471790583,0.8674515761488796,2633
10,0.4310260043300764,0.001,0.3951744329006899,0.8783173250486542,0.877989080305414,0.8777060387390809,2633
11,0.38608853388514985,0.001,0.42335630465476287,0.8674841772098515,0.865438634569805,0.8666919863273832,2633
12,0.35481305360192,0.001,0.38288660489377524,0.886980221607995,0.8858403608427937,0.8864413216862894,2633
13,0.33138645056522253,0.001,0.3473438442285572,0.8939159098431942,0.8931690081341244,0.8936574249905052,2633
14,0.31528104154349174,0.001,0.3023555105818169,0.9075448827132646,0.9078619487505136,0.9073300417774401,2633
15,0.295226535763002,0.001,0.2980061818712524,0.9131637574094253,0.9125339963488027,0.9126471705279149,2633
