epoch,train_loss,lr,val_loss,val_macro_f1,val_balanced_acc,val_overall_acc,val_count
1,2.3777655875122785,0.001,2.391704547972906,0.042698052060674875,0.09757126554001555,0.10075471698113207,2650
2,2.319745814240219,0.001,2.292230027062552,0.0950376987454211,0.1716134143773064,0.16905660377358492,2650
3,2.236820520170583,0.001,2.343495079449245,0.05259077420679004,0.1260926684723476,0.12264150943396226,2650
4,2.27293353112752,0.001,2.0311390246663774,0.17588490815486732,0.2408706572422757,0.23320754716981132,2650
5,1.806731546485184,0.001,1.5794313691911244,0.35293901980771564,0.39030628367282993,0.3928301886792453,2650
6,1.4954998313180552,0.001,1.3530521974677132,0.5322074597347158,0.5397455315174905,0.5369811320754717,2650
7,1.2452972327302767,0.001,1.1274573739085878,0.6019296270980606,0.6139740227709837,0.6124528301886792,2650
8,1.0270351213496804,0.001,0.9536743398223605,0.6767495114976776,0.6786668750882691,0.6773584905660377,2650
9,0.930815094269362,0.001,0.803251753960337,0.7355299154912398,0.7357394310727531,0.7350943396226415,2650
10,0.7638516152065072,0.001,0.7436685178961072,0.7536378143260681,0.7547451124435504,0.7543396226415094,2650
11,0.6599519849323586,0.001,0.7461967336989584,0.7547356111231547,0.7569881575227533,0.7562264150943396,2650
12,0.6096428381716645,0.001,0.6502868586352893,0.7915021050345131,0.7952390926455117,0.7932075471698113,2650
13,0.5535216753514821,0.001,0.5630353144591763,0.8135013816268206,0.8137566826574794,0.8135849056603773,2650
14,0.5117351876809293,0.001,0.5706611664167472,0.8127558889592286,0.8131593916466209,0.8128301886792453,2650
15,0.47648171600479405,0.001,0.5454458369030839,0.8231562980665902,0.8239051103743061,0.8237735849056603,2650
