epoch,train_loss,lr,val_loss,val_macro_f1,val_balanced_acc,val_overall_acc,val_count
1,2.3972264556371004,0.001,2.3955648526912783,0.018893866526885624,0.09170230728553007,0.09458428680396644,2622
2,2.31498399728075,0.001,2.1244114608299443,0.10407788979377183,0.1865975458297853,0.18802440884820748,2622
3,1.869470189316104,0.001,1.601527469914134,0.36698738602591874,0.40318349984224255,0.410373760488177,2622
4,1.229494030026073,0.001,1.0608419078152354,0.5968779492803411,0.611101773721561,0.6140350877192983,2622
5,0.9214663599878048,0.001,0.8724799432405611,0.6928769554649336,0.7047065952699434,0.7032799389778794,2622
6,0.7229044142395559,0.001,0.785883705427007,0.7311792476542588,0.7327705160458181,0.7356979405034325,2622
7,0.606169244556716,0.001,0.7407261678358403,0.7528811826429895,0.7549878697252989,0.7536231884057971,2622
8,0.5152844695832192,0.001,0.7083651503411735,0.7649640970540772,0.7670988686098442,0.7669717772692601,2622
9,0.44558536715379066,0.001,0.7039046567387697,0.7764043845686482,0.7744535788353256,0.7776506483600305,2622
10,0.386853733046689,0.001,0.7315544006301136,0.7750982334804086,0.7751238578882926,0.7745995423340961,2622
11,0.3325410040741416,0.001,0.7789756601176611,0.7640815701111877,0.7591623496267701,0.7601067887109078,2622
12,0.2742803969015979,0.001,0.7452983714458419,0.7915203151632291,0.7912532276469618,0.7906178489702517,2622
13,0.25524823244673633,0.001,0.7662712139327351,0.7798435940744773,0.7794354739655777,0.7795575896262396,2622
14,0.22168792897101605,0.001,0.821349289359116,0.7840321178431775,0.7820999583204827,0.7803203661327232,2622
15,0.1943604238143172,0.001,0.864077743233704,0.7823073645405848,0.7802434353703599,0.7807017543859649,2622
