epoch,train_loss,lr,val_loss,val_macro_f1,val_balanced_acc,val_overall_acc,val_count
1,1.6673447648282806,0.001,1.2942856294768197,0.5570173316542636,0.5759215931347731,0.571537290715373,2628
2,1.0592973485137478,0.001,0.8956933511154992,0.6864815719189014,0.6939437859730792,0.6906392694063926,2628
3,0.8573855430590184,0.001,0.7560545578598976,0.7380190381375246,0.7439439324298873,0.7416286149162862,2628
4,0.6508063834524315,0.001,0.617960356530689,0.8023836819368192,0.8041208636723066,0.802130898021309,2628
5,0.5102087231697859,0.001,0.5728348383591289,0.8107151757894243,0.8115478163661394,0.8105022831050228,2628
6,0.4121911011962377,0.001,0.4294535569137051,0.8690681264351082,0.8679504019685613,0.8668188736681888,2628
7,0.33151656685252784,0.001,0.3807441968293417,0.8765937138717455,0.8752711580363904,0.8751902587519026,2628
8,0.2744496450179354,0.001,0.3684775371636663,0.8843950061335886,0.883921944625748,0.882800608828006,2628
9,0.2335775975727473,0.001,0.39055519621996654,0.8877204142008068,0.888808196718902,0.8881278538812786,2628
10,0.20267239884043783,0.001,0.34123723829785985,0.8929553512090375,0.8913417431312496,0.8915525114155252,2628
11,0.1860082438623263,0.001,0.3197218007629826,0.9054668560867132,0.9055400591246774,0.904490106544901,2628
12,0.15206504061266227,0.001,0.33103136753752116,0.9001573013059346,0.8999079163497243,0.899923896499239,2628
13,0.13924887433949143,0.001,0.30221934691958485,0.9110040495177644,0.9105830550687408,0.9101978691019786,2628
14,0.1362446202686439,0.001,0.31191366732430953,0.9066743608313204,0.906048934499021,0.9071537290715372,2628
15,0.11433164278039025,0.001,0.2916256091779187,0.9110258938445109,0.9105724503925583,0.9105783866057838,2628
