epoch,train_loss,lr,val_loss,val_macro_f1,val_balanced_acc,val_overall_acc,val_count
1,2.323825067943997,0.001,2.1911559331984747,0.120172275198683,0.18741290724626633,0.1920152091254753,2630
2,2.175031152237144,0.001,2.059525796345302,0.1875019841667213,0.22720484638206517,0.23079847908745246,2630
3,1.9500235335192697,0.001,1.8377243592625572,0.22283927623298183,0.30524739002251255,0.3,2630
4,1.8852123840890749,0.001,1.7411578255040305,0.2905811857574186,0.35963786278815707,0.34980988593155893,2630
5,1.8041861233887848,0.001,1.6656665333679743,0.35448163530189397,0.3874461503436724,0.3866920152091255,2630
6,1.754739927121686,0.001,1.7099050794328963,0.2961731234093288,0.35590656902042844,0.355893536121673,2630
7,1.7275443020894472,0.001,1.5310142182168507,0.3815883576761363,0.43024660700184825,0.42775665399239543,2630
8,1.6476559237598971,0.001,1.468339170728411,0.41730030153232484,0.4675833912277765,0.455893536121673,2630
9,1.6100785367015236,0.001,1.4647144632680076,0.4253726592426988,0.4583747485633251,0.4509505703422053,2630
10,1.5721191336410214,0.001,1.4276720115116663,0.463833744771069,0.4852206390597072,0.48136882129277564,2630
11,1.5103555143080176,0.001,1.3647719366209847,0.4715445552390001,0.5138164649354868,0.506083650190114,2630
12,1.4477633827864522,0.001,1.207551890185901,0.5442653997625224,0.5753662261100766,0.5703422053231939,2630
13,1.2935267411899887,0.001,1.11922487616539,0.5604998771379992,0.5867519057593755,0.5809885931558936,2630
14,1.2584420986448475,0.001,1.1807845490319389,0.5222466504040684,0.5533634641007947,0.5570342205323194,2630
15,1.182371200134457,0.001,1.0099226733048756,0.6216363024178476,0.6335468114980226,0.6315589353612168,2630
