epoch,train_loss,lr,val_loss,val_macro_f1,val_balanced_acc,val_overall_acc,val_count
1,2.314407660904958,0.001,2.0967319579351518,0.13131433222721833,0.20348479034305536,0.20722433460076045,2630
2,2.1330649760435727,0.001,2.121462804930551,0.13857155836172144,0.20939037447563502,0.21596958174904943,2630
3,2.0362702439529725,0.001,1.9225382322356814,0.2882092666740793,0.32097417329549366,0.31749049429657794,2630
4,1.948843533342535,0.001,1.757389907326017,0.3207075706853203,0.35884157044850157,0.3520912547528517,2630
5,1.8384173418134953,0.001,1.6910024625914437,0.3607340404313868,0.4007672465185218,0.3946768060836502,2630
6,1.7903983805717443,0.001,1.6249853244849615,0.3723863628674762,0.4222079149720264,0.41825095057034223,2630
7,1.7033562591983011,0.001,1.5134183856702985,0.41304102478130916,0.4637009864055383,0.4612167300380228,2630
8,1.6490798084824174,0.001,1.4634968893868583,0.42547697891256125,0.4730842729675444,0.4699619771863118,2630
9,1.6625136012581463,0.001,1.472714404265086,0.43065680407469115,0.4755739401058447,0.4726235741444867,2630
10,1.5832543224598021,0.001,1.4070699257510049,0.4462394347927784,0.49300727821407564,0.49467680608365017,2630
11,1.5363679361664486,0.001,1.3880444424492973,0.45560464688382135,0.4972477812051465,0.4920152091254753,2630
12,1.4898424939274386,0.001,1.300660823072706,0.4940937777838336,0.5285735755437535,0.5254752851711026,2630
13,1.4942768113781708,0.001,1.3011698453199296,0.5283901930976324,0.5550299715672279,0.5475285171102662,2630
14,1.4228848451717133,0.001,1.2092244014853524,0.5195598556052152,0.5584056798634062,0.5555133079847909,2630
15,1.4179753831741384,0.001,1.293880324988138,0.49838376301166215,0.5327218755841918,0.5307984790874525,2630
