epoch,train_loss,lr,val_loss,val_macro_f1,val_balanced_acc,val_overall_acc,val_count
1,2.3579775861618093,0.001,2.211689971742176,0.0648387510606711,0.15187259283925358,0.15513307984790875,2630
2,2.0023749585103507,0.001,1.639956499849047,0.33302611505565305,0.38740162920702803,0.39543726235741444,2630
3,1.430277558689567,0.001,1.209822260198139,0.551212186103598,0.5638839899301448,0.5642585551330799,2630
4,1.0670799619019633,0.001,0.937815384495826,0.662427227790731,0.6652071836586783,0.664638783269962,2630
5,0.8307439103873089,0.001,0.7859515526465007,0.7234654553554939,0.7291707042506096,0.7277566539923954,2630
6,0.6715988863999595,0.001,0.627162753826096,0.7763787427879393,0.7766898643475774,0.776425855513308,2630
7,0.5695829596182312,0.001,0.5300803518011457,0.8118326011731699,0.8146794619726054,0.8144486692015209,2630
8,0.5130128790734192,0.001,0.5741356566903137,0.8017937457637618,0.8036331484636677,0.8026615969581748,2630
9,0.42912273660854056,0.001,0.5003364185492197,0.8294508291216115,0.8316950124909283,0.8300380228136882,2630
10,0.39852743949552977,0.001,0.4443468855960028,0.8538601960192529,0.851512660066729,0.8532319391634982,2630
11,0.3567666181861752,0.001,0.45413523557640256,0.8495297435691905,0.8502556134388951,0.850190114068441,2630
12,0.3366765146855553,0.001,0.416930479219272,0.8588735516805707,0.8580237409274232,0.8581749049429658,2630
13,0.30665501952171326,0.001,0.4236191353272824,0.8537443294927087,0.857692084322061,0.8570342205323194,2630
14,0.28253800294013937,0.001,0.4395492374897003,0.8602631625619316,0.8617876792883998,0.8612167300380228,2630
15,0.2559278691407005,0.001,0.41543625268552986,0.8700930925930339,0.8690854021103486,0.8695817490494296,2630
