epoch,train_loss,lr,val_loss,val_macro_f1,val_balanced_acc,val_overall_acc,val_count
1,2.106934079818854,0.001,1.825835076774039,0.23770518799310836,0.31484002511455506,0.31922196796338675,2622
2,1.8384987806230282,0.001,1.5411388975817983,0.4166112962133411,0.4425005926208884,0.4450800915331808,2622
3,1.5762465955432416,0.001,1.3086230696701422,0.5253925612562994,0.5333866924939499,0.5362318840579711,2622
4,1.4048200632988002,0.001,1.1706544455231689,0.5221010982429418,0.5494485953500169,0.5461479786422578,2622
5,1.1945729438303296,0.001,0.8697385562629234,0.6898127114165256,0.698092036438631,0.6994660564454614,2622
6,0.9546069676426525,0.001,0.719741916511117,0.7535027247361019,0.7528490334991194,0.7562929061784897,2622
7,0.7928871532481929,0.001,0.580778552628145,0.8170806233113974,0.8209588996157884,0.8211289092295957,2622
8,0.6743764743861125,0.001,0.4883713188876466,0.8278953852753702,0.830660529046598,0.8318077803203662,2622
9,0.587874209640002,0.001,0.4162054874184655,0.8660761955242492,0.865357633712214,0.8653699466056446,2622
10,0.5154583727069174,0.001,0.39408318780180884,0.8764906909803437,0.874810546121849,0.8737604881769642,2622
11,0.47070520378724495,0.001,0.3589625236828153,0.8877115277514165,0.8888056451830539,0.8874904652936689,2622
12,0.42292854661491985,0.001,0.3462354081069551,0.8855188761627876,0.886806828685407,0.8844393592677345,2622
13,0.387006911816019,0.001,0.3059953736005033,0.9063909987232512,0.9060452507133778,0.9061784897025171,2622
14,0.36266263511646474,0.001,0.32652793068257047,0.8900820481911915,0.8910088215360145,0.8897787948131197,2622
15,0.3303452877434416,0.001,0.2806872027221976,0.9107583128476088,0.9124460309538184,0.9118993135011442,2622
