epoch,train_loss,lr,val_loss,val_macro_f1,val_balanced_acc,val_overall_acc,val_count
1,2.391352895935778,0.001,2.3733499864252603,0.05154477922402419,0.11100233828476697,0.11708619374523264,2622
2,1.9841661108061923,0.001,1.4491138218379602,0.4238828109286766,0.46318906960183476,0.4698703279938978,2622
3,1.304730065141864,0.001,1.0537341636855428,0.6050007678887851,0.6107851690031014,0.6163234172387491,2622
4,0.9306483666102091,0.001,0.7747322419067708,0.7119858814323914,0.7178584068311398,0.7242562929061785,2622
5,0.7256484346759038,0.001,0.6829214343210546,0.7522776366618533,0.7560256133187291,0.7574370709382151,2622
6,0.611300692514137,0.001,0.6309248566082338,0.7823071675411272,0.7823898351192308,0.7848970251716247,2622
7,0.5102646093476902,0.001,0.5589662735782018,0.8021496935661343,0.8028655617593082,0.8089244851258581,2622
8,0.4433789138842111,0.001,0.4938434822621142,0.8263915481685181,0.8282112811118041,0.8283752860411899,2622
9,0.3969889423662565,0.001,0.4639977627865425,0.837496080358056,0.8359304148180243,0.837909992372235,2622
10,0.35021771249747036,0.001,0.461083073168993,0.8471570824565188,0.8489044040198255,0.8478260869565217,2622
11,0.3256610874023903,0.001,0.4180597292213905,0.8603994399971202,0.8574198059264518,0.8569794050343249,2622
12,0.29860383462825607,0.001,0.3848859964438328,0.8756850086970931,0.8782192913739649,0.8764302059496567,2622
13,0.2789890318105518,0.001,0.3792558375109987,0.8727164575433904,0.87461289984305,0.8733790999237223,2622
14,0.2473934953185645,0.001,0.4068200031704292,0.8685984536198436,0.8703607095449498,0.8691838291380626,2622
15,0.23663110294777537,0.001,0.3408260857459249,0.8867240756626323,0.8854667145234859,0.8852021357742181,2622
