epoch,train_loss,lr,val_loss,val_macro_f1,val_balanced_acc,val_overall_acc,val_count
1,1.9190443236418444,0.001,1.6836579626514798,0.3443994629546366,0.3902203039035314,0.39080896315989366,2633
2,1.4362989810580757,0.001,1.2496583816551028,0.5563906978799598,0.5781638110402508,0.5761488796050133,2633
3,1.0633791982124148,0.001,0.7911481750862939,0.710558940064068,0.7291271513187723,0.7280668439042917,2633
4,0.8703110551191902,0.001,0.7074531616554374,0.7644816136892891,0.7650113342303844,0.7668059248006077,2633
5,0.6849775211979644,0.001,0.5488513591034072,0.8295325729229736,0.8284405218760018,0.8302316748955564,2633
6,0.5895192516773237,0.001,0.46002463428747087,0.857743714811667,0.8580030363043545,0.8587162932016711,2633
7,0.4964447446945139,0.001,0.4302138839626596,0.8650778082392553,0.8656123914982546,0.8655526015951386,2633
8,0.4330659552355005,0.001,0.40685627636100563,0.8723100820332857,0.8707523516507293,0.8708697303456133,2633
9,0.386107791152466,0.001,0.39170503496591536,0.8765054609703724,0.8786541299151636,0.8784656285605773,2633
10,0.3555589629343463,0.001,0.3255225663915986,0.8921822433510347,0.891600316160065,0.8917584504367642,2633
11,0.31621566449953653,0.001,0.3320504061522938,0.8949588927872515,0.8944202563902276,0.8944170148120015,2633
12,0.317466376255257,0.001,0.3493561601000173,0.89401631271713,0.8931453690754094,0.8932776300797569,2633
13,0.28235908928844666,0.001,0.3323124097660184,0.8987568383931864,0.8977176227568066,0.8978351690087353,2633
14,0.2448324521859286,0.001,0.29380584614617483,0.9095239357000392,0.909276626558757,0.908849221420433,2633
15,0.22973121522050916,0.001,0.2857329422341926,0.9170387704230738,0.9164041131694431,0.9164451196353969,2633
