epoch,train_loss,lr,val_loss,val_macro_f1,val_balanced_acc,val_overall_acc,val_count
1,1.7199398364050913,0.001,1.3971747559745138,0.49940572952492324,0.5268055975976019,0.5281201848998459,2596
2,1.3016626459057048,0.001,1.1788119797299548,0.5652786313223408,0.5872049501384425,0.5916795069337443,2596
3,1.0839729074704445,0.001,0.8708697099511217,0.6930484350362716,0.6957081952014488,0.697226502311248,2596
4,0.8869489752640158,0.001,0.7491542689683961,0.7417823203985016,0.7526427672123787,0.7465331278890601,2596
5,0.7087133519730325,0.001,0.5901206088502232,0.810067800307028,0.8119452362051494,0.811633281972265,2596
6,0.5789057687177497,0.001,0.526848389971547,0.8350910896846908,0.8358167302749934,0.8347457627118644,2596
7,0.4951202539064116,0.001,0.45827478933625104,0.8631740933083148,0.861036723770415,0.863251155624037,2596
8,0.4137162704589003,0.001,0.4255052621408207,0.8775163876086836,0.878839948580272,0.8790446841294299,2596
9,0.3533735257589211,0.001,0.39668533873812456,0.8702736538437115,0.8704523251631653,0.8705701078582434,2596
10,0.31550224322383685,0.001,0.34879352434015853,0.8897644997947443,0.8889097865643,0.8886748844375963,2596
11,0.2784663980795165,0.001,0.3550057630849684,0.8943088286279456,0.8949332960392868,0.8948382126348228,2596
12,0.25408149249220296,0.001,0.3320693582432663,0.8935749498212768,0.8928383093272644,0.8925269645608629,2596
13,0.24130924035937099,0.001,0.3488047564992817,0.8924594441771123,0.8930915438330054,0.8932973805855162,2596
14,0.23079347565012462,0.001,0.3256476362485711,0.9042511010920783,0.902558935857683,0.9036979969183359,2596
15,0.20642745156409376,0.001,0.33498883785725364,0.9046887415519269,0.9047737126576045,0.9048536209553159,2596
