epoch,train_loss,lr,val_loss,val_macro_f1,val_balanced_acc,val_overall_acc,val_count
1,1.8683300837121828,0.001,1.3849397471972875,0.4943001747920267,0.5103794239597023,0.509684770224079,2633
2,1.3052659285590305,0.001,1.0693283137821017,0.6163055396655448,0.629265584877178,0.6255222180022788,2633
3,1.0452457957396202,0.001,0.8570408586944852,0.6745013357781252,0.6942273906814633,0.6942650968477022,2633
4,0.8457662753183833,0.001,0.7260128576308489,0.7567262211111462,0.7631466545429558,0.7599696164071401,2633
5,0.6653970215055678,0.001,0.55609563489755,0.8148687465562197,0.8147828163571418,0.8123813140903912,2633
6,0.5586317975312372,0.001,0.4986933852945055,0.8416758364048958,0.8421336359974148,0.8420053171287505,2633
7,0.4751363801033007,0.001,0.4326932590809606,0.8630512198345155,0.8641279984410272,0.8632738321306495,2633
8,0.3915581138748111,0.001,0.39921246752852485,0.8778401368185219,0.8771539643713884,0.8769464489175846,2633
9,0.3550677371496705,0.001,0.365570123440453,0.881781250060884,0.8821876918792245,0.881883782757311,2633
10,0.3247794538786516,0.001,0.3209185979462096,0.9034129373424452,0.9031562127220905,0.9027725028484618,2633
11,0.2854072855478184,0.001,0.3521863839566885,0.888447265946429,0.8868056167362567,0.8872009115077858,2633
12,0.26185327171275913,0.001,0.34800878413287656,0.902160563039023,0.9026188406506254,0.9027725028484618,2633
13,0.23697361609700954,0.001,0.29709692694069373,0.9113920369730177,0.9103312170164198,0.9103684010634258,2633
14,0.22444712053294535,0.001,0.3125649408570358,0.9076603260283096,0.9068884113244373,0.906950246866692,2633
15,0.2046044171107337,0.001,0.2722452085664762,0.9199489252729612,0.919096105558345,0.9194834789213825,2633
